max_factors,metric_window,ridge_lambda,sharpe,annual_return,max_drawdown,valid_days,avg_factor_count
10,60,1.0,0.10549820319138618,0.005505133831966269,-0.17835347947039426,730,9.636122177954848
8,60,1.0,0.0159015132681149,-0.005769283851606466,-0.22798559884401837,730,7.729083665338646
8,40,1.0,-0.12038487056244458,-0.02178574399982114,-0.2973575710011993,730,7.721115537848606
5,60,1.0,-0.1731672572250254,-0.03167049398623312,-0.23633994710265904,730,4.840637450199203
12,80,2.0,-0.635907977740056,-0.07702287378935235,-0.27887320070199595,724,11.281540504648074
5,40,0.5,-0.7305577975864539,-0.09088102277876453,-0.3874204519762643,730,4.840637450199203
