strategy,days,avg_daily_ret,annual_return,annual_vol,sharpe,max_drawdown,win_rate
static_equal_weight,712,0.0002883387936962595,0.06355327429684499,0.14881217226171717,0.4882757566610025,-0.11546036529053028,0.4957865168539326
dynamic_alphaforge_lite,730,4.958857668883477e-05,0.005505133831966269,0.11845056074477933,0.10549820319138618,-0.17835347947039426,0.5191780821917809
